

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1122	4160	07	25	009	2	77150	        West Newbury town
1122	4160	07	33	015			     Rockingham County, NH (pt.)
1122	4160	07	33	015	2	02340	        Atkinson town
1122	4160	07	33	015	2	12100	        Chester town
1122	4160	07	33	015	2	17140	        Danville town
1122	4160	07	33	015	2	17940	        Derry town
1122	4160	07	33	015	2	27940	        Fremont town
1122	4160	07	33	015	2	32900	        Hampstead town
1122	4160	07	33	015	2	40100	        Kingston town
1122	4160	07	33	015	2	52900	        Newton town
1122	4160	07	33	015	2	62500	        Plaistow town
1122	4160	07	33	015	2	64020	        Raymond town
1122	4160	07	33	015	1	66660	        Salem town
1122	4160	07	33	015	2	67620	        Sandown town
1122	4160	07	33	015	2	85780	        Windham town
1122	4560	07					   Lowell, MA-NH PMSA
1122	4560	07	25	017			     Middlesex County, MA (pt.)
1122	4560	07	25	017	1	05805	        Billerica town
1122	4560	07	25	017	1	13135	        Chelmsford town
1122	4560	07	25	017	1	17475	        Dracut town
1122	4560	07	25	017	2	17825	        Dunstable town
1122	4560	07	25	017	2	27480	        Groton town
1122	4560	07	25	017	1	37000	        Lowell city
1122	4560	07	25	017	2	52805	        Pepperell town
1122	4560	07	25	017	1	69415	        Tewksbury town
1122	4560	07	25	017	2	71025	        Tyngsborough town
1122	4560	07	25	017	2	76135	        Westford town
1122	4560	07	33	011			     Hillsborough County, NH (pt.)
1122	4560	07	33	011	2	59940	        Pelham town
1122	4760	07					   Manchester, NH PMSA
1122	4760	07	33	011			     Hillsborough County (pt.)
1122	4760	07	33	011	2	04500	        Bedford town
1122	4760	07	33	011	1	29860	        Goffstown town
1122	4760	07	33	011	1	45140	        Manchester city
1122	4760	07	33	011	2	79780	        Weare town
1122	4760	07	33	013			     Merrimack County (pt.)
1122	4760	07	33	013	2	00660	        Allenstown town
1122	4760	07	33	013	2	37300	        Hooksett town
1122	4760	07	33	015			     Rockingham County (pt.)
1122	4760	07	33	015	2	02820	        Auburn town
1122	4760	07	33	015	2	09300	        Candia town
